"","x"
"1","CH0007"
"2","CO0362"
"3","LD0007"
"4","LD0008"
"5","SE0007"
"6","LD0002"
"7","CO0096"
"8","CO0473"
"9","LD0003"
"10","SE0022"
"11","CO0423"
"12","LD0022"
"13","SE0001"
"14","CH0009"
"15","CH0001"
"16","CH0010"
"17","SE0008"
"18","SE0025"
"19","SE0018"
"20","SE0024"
"21","CH0008"
"22","DD0011"
"23","DD0017"
"24","CH0005"
"25","LD0013"
"26","LD0015"
"27","SE0002"
"28","SE0003"
"29","FN0068"
"30","CO0118"
"31","SE0016"
"32","CO0067"
"33","SE0015"
"34","SE0014"
"35","SE0023"
"36","CO0481"
"37","SE0017"
"38","CH0011"
"39","CO0530"
"40","CS0026"
"41","SE0009"
"42","SE0004"
"43","SE0005"
"44","SE0006"
"45","CO0420"
"46","DD0005"
"47","DD0014"
"48","CS0002"
"49","CS0031"
"50","CH0006"
"51","SE0011"
"52","CO0379"
"53","CO0050"
"54","FN0044"
"55","FN0006"
"56","FN0011"
"57","FN0020"
"58","SE0013"
"59","CO0603"
"60","FN0022"
"61","CH0003"
"62","LD0010"
"63","SC0132"
"64","SC0149"
"65","SC0160"
"66","SC0178"
"67","SC0212"
"68","SC0215"
